(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,PumpT,PCBT,FdpT,PumpP,PCBP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShdop
0:22:45,1657221840,2022-07-07T19:24:00,2022-07-07T13:24:00,1.990,45.61,35.40,34.00,36.92,849.38,852.70,175.600006,21.86,0.9574,283,0,12.772,1.90429,4.13,53221,40.564759,-105.073068,1519.8,12,0.093548,0.8
0:23:15,1657221870,2022-07-07T19:24:30,2022-07-07T13:24:30,1.993,46.60,35.39,33.98,36.88,849.41,852.64,176.399994,22.17,0.9573,283,0,12.788,1.90797,4.13,53209,40.564756,-105.073055,1524.1,12,0.024158,0.7
0:23:45,1657221900,2022-07-07T19:25:00,2022-07-07T13:25:00,1.992,47.60,35.36,33.95,36.89,849.39,852.69,177.550003,22.03,0.9575,283,0,12.788,1.90944,4.13,53197,40.564770,-105.073035,1520.2,12,0.014906,0.7
0:24:15,1657221930,2022-07-07T19:25:30,2022-07-07T13:25:30,1.993,48.60,35.34,33.89,36.86,849.25,852.67,176.000000,22.25,0.9575,283,0,12.788,1.90834,4.13,53185,40.564753,-105.073056,1518.8,12,0.089950,0.7
0:24:45,1657221960,2022-07-07T19:26:00,2022-07-07T13:26:00,1.993,49.59,35.33,33.88,36.82,849.25,852.67,175.850006,22.87,0.9573,283,0,12.786,1.90650,4.12,53172,40.564746,-105.073058,1522.7,12,0.042148,0.8
0:25:15,1657221990,2022-07-07T19:26:30,2022-07-07T13:26:30,1.993,50.59,35.31,33.84,36.79,849.34,852.67,176.399994,23.11,0.9573,283,0,12.787,1.91092,4.12,53160,40.564743,-105.073058,1523.2,12,0.033924,0.7
0:25:45,1657222020,2022-07-07T19:27:00,2022-07-07T13:27:00,1.992,51.59,35.29,33.83,36.81,849.34,852.67,175.850006,23.06,0.9574,283,0,12.786,1.90797,4.12,53148,40.564744,-105.073057,1523.2,12,0.034952,0.7
0:26:15,1657222050,2022-07-07T19:27:30,2022-07-07T13:27:30,1.992,52.58,35.28,33.79,36.76,849.29,852.70,175.949997,23.08,0.9575,283,0,12.787,1.90650,4.12,53136,40.564735,-105.073057,1523.7,12,0.004626,0.7
0:26:45,1657222080,2022-07-07T19:28:00,2022-07-07T13:28:00,1.992,53.58,35.26,33.75,36.75,849.35,852.75,176.750000,22.93,0.9576,283,0,12.787,1.91092,4.12,53124,40.564735,-105.073038,1521.6,12,0.049344,0.8
0:27:15,1657222110,2022-07-07T19:28:30,2022-07-07T13:28:30,1.991,54.57,35.24,33.74,36.74,849.30,852.77,176.850006,22.87,0.9578,283,0,12.785,1.90576,4.12,53112,40.564711,-105.073026,1523.2,12,0.011822,0.7
0:27:45,1657222140,2022-07-07T19:29:00,2022-07-07T13:29:00,1.991,55.57,35.23,33.71,36.71,849.30,852.69,175.300003,23.00,0.9577,283,0,12.786,1.90871,4.12,53100,40.564683,-105.073013,1525.2,12,0.020046,0.7
0:28:15,1657222170,2022-07-07T19:29:30,2022-07-07T13:29:30,1.991,56.56,35.22,33.70,36.69,849.30,852.69,176.050003,23.12,0.9577,283,0,12.785,1.90760,4.12,53087,40.564706,-105.073034,1523.4,12,0.037522,0.7
0:28:45,1657222200,2022-07-07T19:30:00,2022-07-07T13:30:00,1.991,57.56,35.20,33.68,36.71,849.28,852.76,173.600006,23.17,0.9578,283,0,12.785,1.90650,4.12,53075,40.564727,-105.073045,1523.3,12,0.052942,0.7
0:29:15,1657222230,2022-07-07T19:30:30,2022-07-07T13:30:30,1.990,58.56,35.21,33.63,36.67,849.27,852.76,175.649994,22.27,0.9580,283,0,12.785,1.90503,4.12,53063,40.564718,-105.073018,1524.9,12,0.001028,0.7
0:29:45,1657222260,2022-07-07T19:31:00,2022-07-07T13:31:00,1.990,59.55,35.18,33.64,36.65,849.25,852.76,174.899994,23.03,0.9579,283,0,12.785,1.90613,4.12,53051,40.564709,-105.073015,1527.0,12,0.025700,0.7
